assigned_to,component,creation_time,creator,id,keywords,last_change_time,priority,product,qa_contact,resolution,severity,status,summary,whiteboard
"[u'chulee', u'Chuck Lee [:chucklee]']",Wifi,2013-11-14T19:49:41Z,"[u'bob.silverberg', u'Bob Silverberg [:bsilverberg]']",938735,[u'regression'],2014-04-16T02:03:27Z,--,Firefox OS,[u''],,normal,NEW,Device fails to attempt to connect to wifi from Settings app,[fromAutomation]
"[u'dburns', u'David Burns :automatedtester']",Marionette,2013-02-04T16:43:58Z,"[u'bob.silverberg', u'Bob Silverberg [:bsilverberg]']",837725,[u'ateam-marionette-displayed'],2014-04-10T22:14:27Z,--,Testing,[u''],,normal,NEW,B2G Settings app element returns true for is_displayed when it is not visible on the screen,[fromAutomation][displayed]
[u'english-us'],English US,2012-06-28T13:55:14Z,"[u'trifandreialin', u'Trif Andrei-Alin[:AlinT]']",769251,[],2012-06-28T17:26:13Z,--,Tech Evangelism,[u''],,normal,NEW,Duplicate ID login in Paypal login sandbox frame,[fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",Public Pages,2010-06-14T22:10:34Z,"[u'tsmith', u'Truman Smith [:truman]']",571993,[],2010-06-14T22:13:45Z,--,addons.mozilla.org,[u''],,minor,NEW,collection search results doesn't list all creators,[fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",Public Pages,2010-08-17T22:35:00Z,"[u'tsmith', u'Truman Smith [:truman]']",588215,[],2011-03-07T20:54:02Z,--,addons.mozilla.org,[u''],,normal,NEW,Add-ons that incorrectly reference two applications,[fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",Search,2011-02-12T17:21:38Z,"[u'stephen.donner', u'Stephen Donner [:stephend]']",633744,[],2012-03-26T23:15:03Z,--,addons.mozilla.org,[u''],,normal,NEW,"503 Service Unavailable searching for collection with leading ""@$%"" characters",[fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",affiliates.mozilla.org,2011-12-19T23:08:31Z,"[u'chrismore.bugzilla', u'Chris More [:cmore]']",712148,[],2012-06-26T07:23:30Z,--,Firefox Affiliates,[u''],,normal,NEW,Affiliates: Method to display all current and past uploaded banners,[dev] [fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",Webapp,2012-02-17T22:25:34Z,"[u'apdavis', u'Austin Davis [:austind]']",728416,[],2013-08-21T18:00:33Z,--,Socorro,[u''],,enhancement,NEW,Top crashers: type filter should default to browser + content (doesn't currently exist) for all products,[mentored][fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",Service,2012-03-08T18:08:23Z,"[u'zcampbell', u'Zac C (:zac)']",734165,[],2012-03-09T18:08:27Z,--,Snippets,[u''],,normal,NEW,Invalid link in Aurora feed,[fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",Wiki pages,2012-10-16T16:16:19Z,"[u'stephen.donner', u'Stephen Donner [:stephend]']",802196,[],2014-04-28T07:08:58Z,--,Mozilla Developer Network,[u''],,major,NEW,"DOM/Storage (Local Storage) link is a 404/broken, on staging",[fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",Gaia::First Time Experience,2013-01-10T00:15:45Z,"[u'bob.silverberg', u'Bob Silverberg [:bsilverberg]']",828734,[],2013-01-10T01:02:09Z,--,Firefox OS,[u''],,normal,NEW,[FTU] Time zone reverts to GMT in display when returning to FTU app,[fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",Public Pages,2013-01-29T02:49:04Z,"[u'stephen.donner', u'Stephen Donner [:stephend]']",835650,[],2013-01-29T18:35:31Z,--,addons.mozilla.org,[u''],,critical,NEW,Sometimes unable to add a review due to CSP,[fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",Gaia::Video,2013-01-29T17:43:36Z,"[u'bob.silverberg', u'Bob Silverberg [:bsilverberg]']",835889,[],2013-01-29T17:45:13Z,--,Firefox OS,[u'mozillamarcia.knous'],,normal,NEW,[Video] Blank screen when launching video player with no files on the sd card,[fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",Gaia::Dialer,2013-02-05T14:30:21Z,"[u'zcampbell', u'Zac C (:zac)']",838153,[],2013-10-11T18:42:18Z,--,Firefox OS,[u''],,major,NEW,Long phone numbers truncated in dialer/call app,[fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",General,2013-04-17T17:31:27Z,"[u'mbrandt', u'Matt Brandt [:mbrandt]']",862936,[],2013-04-18T08:15:40Z,--,Socorro,[u''],,normal,NEW,[dev] Dev data doesn't appear to be auto updating,[fromAutomation][dev]
"[u'nobody', u'Nobody; OK to take it and work on it']",Gaia::Homescreen,2013-04-18T01:51:31Z,"[u'stephen.donner', u'Stephen Donner [:stephend]']",863117,[],2013-09-27T02:32:05Z,--,Firefox OS,[u''],,critical,NEW,"After running a Gaia UI Test and locking, unlocking homescreen, UI shifts dramatically and unusably",[fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",General,2013-04-24T16:09:42Z,"[u'aaron.train', u'Aaron Train [:aaronmt]']",865295,[u'crash'],2013-04-25T18:08:18Z,--,Firefox for Android,[u''],,normal,NEW,java.lang.NullPointerException: Unable to start activity ComponentInfo{org.mozilla.firefox_beta/org.mozilla.gecko.AwesomeBar}: java.lang.NullPointerException,"[fromAutomation], [native-crash]"
"[u'nobody', u'Nobody; OK to take it and work on it']",Gaia::Settings,2013-05-09T21:10:12Z,"[u'bob.silverberg', u'Bob Silverberg [:bsilverberg]']",870538,[],2013-05-09T21:12:15Z,--,Firefox OS,[u''],,normal,NEW,[v1.0.1] Media Storage not reporting files,[fromAutomation]
"[u'nobody', u'Nobody; OK to take it and work on it']",Phonebook,2013-07-05T11:57:36Z,"[u'andrei.hutusoru', u'[:AndreiH]']",890488,[],2013-07-29T07:12:55Z,--,Community Tools,[u''],,normal,NEW,[stage] Redirecting on site homepage after normal user workflow,[fromAutomation][stage][prod]
"[u'nobody', u'Nobody; OK to take it and work on it']",MozTrap,2013-08-12T14:07:23Z,"[u'bob.silverberg', u'Bob Silverberg [:bsilverberg]']",904062,[],2013-09-16T14:41:43Z,--,Mozilla QA,[u''],,normal,NEW,Editing a Tag with a Product assigned generates an error,[fromAutomation]
